dates,order_items,reviews,taste_score,quantity_score,delivery_score
2일 전,크크크치킨/1(사이드메뉴 추가(웨지감자)),"처음 먹어보는데요.
바삭바삭 맛있게 먹었습니다.
감자도 좋아요.
예상 도착 시간보다 훨씬 빨리 받았어요.
감사합니다~",5,5,0
2일 전,"순살 크랑이치킨/1,순살 양념치킨/1",배달 빠르고 양 많고 맛도 있고 최고예요!,5,5,0
4일 전,"고추치킨/1(소스,추가메뉴(마요네즈소스),소스,추가메뉴(델리소스))",맛있게 잘 먹었습니다,5,5,0
5일 전,크랑이치킨/1,맛있게 잘 먹었습니다,5,5,0
2024년 4월 14일,"크크크치킨/1(사이드메뉴 추가(웨지감자),소스,추가메뉴(콘마요소스))",와 처음시켜보는디 진짜 기가맥히네요 다름에 또 먹을게요,5,5,0
2024년 4월 10일,"후라이드치킨/1,웨지감자/1",사장님 오늘 잘 튀기신 것 같아요. 맛있고 웨지감자 추가시킨거 양도 많이 주셨네요. 잘 먹었습니다!!,5,5,5
2024년 4월 10일,순살 크크크치킨/1(사이드메뉴 추가(포테이토치즈스틱(3조각))),바삭바삭 맛있어요!! 포테이토치즈스틱 대박!!,5,5,0
2024년 4월 10일,"순살 크크크치킨/1(소스,추가메뉴(치킨 무),소스,추가메뉴(크크크소스),음료추가(콜라 500ml))","너무 맛있었어요
정신없이 먹다보니 사진도 못찍었네요
ㅋㅋㅋ",5,5,0
2024년 4월 3일,"크크크치킨/1,아~매워!소스/1,치킨 무/1","후라이드 당길땐 이제 ㅋㅋㅋ 치킨만 찾게 되네요
바삭바삭하니 매운소스 추가 해서 맛나게 먹었습니다",5,5,5
2024년 3월 26일,"순살 크크크치킨/1,콘마요소스/1",바삭하고 고소해서 맛있습니다.,5,5,5
2024년 3월 22일,순살고추 치킨/1,고추는 60계가 좋아요.  동대문쪽이랑은 달라서 좋아요!  쿠폰은 기사님이 안가져가셨능데 지나갈때 드릴게요,5,5,5
2024년 3월 21일,순살 크크크치킨/1,부모님이 크크크 좋아하세요 축구해서 늦을줄 알았는데 배달예상시간보다 빨리 도착했고 맛있게 잘 먹겠습니다 !!,5,5,5
2024년 3월 21일,"크크크치킨/1,아~매워!소스/1,치킨 무/1","첨 주문해봤는데..빠삭빠삭 하고 먹을때까지 눅눅함없이 너무 맛있게 먹었네요
매운소스 추가해서 치맥 했습니다",5,5,5
2024년 3월 19일,"웨지감자/1,마요네즈소스/2,순살 크크크치킨/1",웨지감자 가성비 대혜자네요. 맛있어요.,5,5,5
2024년 3월 12일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보)),콘마요소스/2",맛있게 잘 먹었습니다,5,5,5
2024년 3월 8일,호랑이치킨/1,호랑이치킨시켰는데 이상한향이나요,1,5,5
2024년 3월 7일,순살 크크크치킨/1,"바삭해서 넘 맛있어요~
따뜻하게 배달해주셔서 
☆ 더 맛있어요~~",5,5,5
2024년 2월 25일,"콤보 반＋콤보 반 선택/1(콤보반＋반 선택1(고추콤보 반),콤보반＋반 선택2(양념콤보 반))","처음 시켜봤는데 두가지맛 다 맛있어요^^
근데 고추가 조금 더 맛있었어요 ㅋㅋ
신랑이 까다로운 입맛인데 신랑도 너무 맛있대요 ㅋㅋ
재주문의사 * 100!!",5,5,5
2024년 2월 25일,크크크치킨/1,"사진찍는 것을 깜빡 했네요  ㅎㅎ
맛,배달,양  모두 만족합니다.
  바삭함과 고소한 맛이
좋았어요~
별이 다섯개~~!!",5,5,5
2024년 2월 20일,"콤보（윙,봉,다리）/1(콤보선택(후라이드 콤보)),마요네즈소스/1",맛있게 잘 먹었습니다,5,5,5
