dates,order_items,reviews,taste_score,quantity_score,delivery_score
어제,"코카-콜라 500ml/1,뼈 후라이드반+선택반/1(반마리선택(고추치킨 반),소스,추가메뉴(치킨 무))",감사합니다 맛나게 먹었네요,5,5,0
2일 전,순살 크크크치킨/1,"졸맛탱 항상
ㅋㅋㅋ만 이용합니데이",5,5,0
2일 전,"봉 15조각/1(부분육단품 맛변경(맛 변경 크랑이치킨),사이드메뉴 추가(쫀득치즈볼(5조각)),사이드메뉴 추가(호랑이쫀도그(3조각))),봉 15조각/1(부분육단품 맛변경(맛 변경 간지치킨)),치킨 무/1",완전 뜨겁게 갖다주셔서 맛있게 먹었어요!,5,5,0
3일 전,"순살 고추치킨/1(소스,추가메뉴(치킨 무),음료업그레이드(코카콜라 1.25L 사이즈 업))","최고입니다~~맛집추천이에요~♡♡♡♡♡♡♡ᆢ
굿굿~~~~",5,5,0
5일 전,순살 고추치킨/1,양도많고 배달빠르고 맛있습니다!!!칙힌은 역시 60계칙힌!!,5,5,0
6일 전,"콤보(윙,봉,다리)/1(세트메뉴 맛변경(후라이드))",다른데보다 바삭하고 맛잇어요,4,4,0
2024년 4월 8일,"윙봉 반＋윙봉 반 선택/1(윙봉반＋반 선택1(간지윙봉 반),윙봉반＋반 선택2(하하핫윙봉 반))",.,5,5,0
2024년 4월 6일,호랑이치킨/1,"매운건 좋아요
그런데 짠맛이 너무 짜요
요즘 싱겁게 먹는게 대세라
조금만 덜 짜게 하면좋을거
같아요..감히 청드립니다",4,5,0
2024년 4월 6일,양념치킨/1,너무 맛있어요 .감자도 맛나고,5,5,5
2024년 4월 6일,"윙봉24세트/1(윙봉선택(크크크 윙봉)),윙 15조각/1(윙선택(후라이드 윙15조각)),아~매워!소스/1","넘넘 맛잇어여🫶🥰윙봉 진짜
최고존엄",5,5,0
2024년 4월 6일,"호랑이웨지감자/1,순살고추 치킨/1,순살 크크크치킨/1",양도 많고 맛도 좋았습니다~,5,5,0
2024년 4월 5일,후라이드/1,$배달빠르고 맛있게잘먹었어요,4,4,0
2024년 4월 2일,"콤보（윙,봉,다리）/1(콤보선택(간지 콤보))",맛있게 잘 먹었습니다....^^,5,5,0
2024년 3월 30일,크크크치킨/1,크크크치킨은 언제나 맛나는군요. 꼭 드셔보시길 추천,5,5,5
2024년 3월 30일,"크크크치킨/1,테라 생맥주 1,000cc/1",바삭하고 맛있네요ㅎ,5,4,5
2024년 3월 26일,순살고추 치킨/1,굿~^^ 맛있어유~~최고~~,5,4,5
2024년 3월 26일,순살고추 치킨/1,맛있어요~~60계최고~~~,5,3,5
2024년 3월 15일,"순살간지 치킨/1,미니쫀득볼（10개）/2,코카-콜라1.25L/1",맛있네요! 잘먹었습니다,5,5,5
2024년 3월 10일,크크크치킨/1,맛있게 잘 먹었습니다.,5,5,5
2024년 3월 9일,"콤보 반＋콤보 반 선택/1(콤보반＋반 선택1(호랑이콤보 반),콤보반＋반 선택2(양념콤보 반))",최고입니다 호랑이 ㅎㅎ,5,5,5
2024년 3월 8일,순살 크크크치킨/1,매우 자주 주문해 처먹는데 맛납니다 추천드림,5,5,5
2024년 3월 8일,"순살 크크크치킨/1,코카-콜라1.25L/1",자주 주문하고 있습니다. 바삭함과 빠른배달이 일품,5,5,5
2024년 3월 3일,"크크크치킨/1,포테이토 치즈스틱（3개）/1",파삭파삭 맛있어요 다음에 또 시킬거 같아요,5,5,5
2024년 3월 2일,"순살 크크크치킨/1,스프라이트1.5L/1",크크크치킨 인생치킨 자주 주문하겠습니다,5,5,5
2024년 2월 29일,크크크치킨/1,배송은 정말 빠르네요. 바삭하고 맛있지만 남자둘이 먹기에는 양이 부족합니다.,4,3,5
2024년 2월 21일,"반마리＋반마리 선택/1(뼈반＋반선택1(양념 반),뼈반＋반선택2(하하핫 반)),코카-콜라1.25L/1",맛있게 잘 막었습니다.,5,5,5
2024년 2월 16일,양념치킨/2,양념이  깔끔하고  맵지안고  정말  쵝오  쵝오 ♡,5,5,5
2024년 2월 14일,후라이드 윙봉 반＋윙봉 반 선택/1(윙봉반 선택1(간지윙봉 반)),맛 최고! 어딜 시킬까 고민하다가 60계로 갔어요. 맛있고 깔끔합니다. 감사합니다! 최고최고 60계!,5,4,5
